"Id","Data da venda","Preço unitario","Quantidade vencida","Descrição Eletrodoméstico","Nome do Fornecedor","Nome do Vendedor","Cidade","Estado","Nome Gerente","Cargo Gerente","Total de vendas"
2039,"2022-09-22",2800,14,"Ar-condicionado Split 18k","Samsung","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",39200
2040,"2023-03-28",1500,9,"Coifa de parede inox","Electrolux","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",13500
2041,"2023-05-22",350,10,"Panela elétrica multifunc.","Britânia","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3500
2042,"2023-04-07",350,6,"Ventilador de coluna","Arno","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2100
2043,"2024-03-02",150,11,"Sanduicheira elétrica","Mondial","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1650
2044,"2025-02-05",2800,13,"Máquina de Lavar 15kg","Brastemp","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",36400
2045,"2025-12-22",150,8,"Sanduicheira elétrica","Mondial","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",1200
2046,"2024-07-07",250,17,"Secador de cabelo 2000W","Taiff","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4250
2047,"2025-10-14",450,4,"Aspirador de pó vertical","Philco","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1800
2048,"2025-12-20",3000,20,"Lava-louças 14 serviços","Electrolux","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",60000
2049,"2024-11-25",450,19,"Aspirador de pó vertical","Philco","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",8550
2050,"2024-07-11",3000,6,"Lava-louças 14 serviços","Electrolux","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",18000
2051,"2024-07-26",250,15,"Batedeira simples","Britânia","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3750
2052,"2022-05-07",650,15,"Micro-ondas 30L","Panasonic","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",9750
2053,"2024-04-19",2200,19,"Freezer horizontal 300L","Consul","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",41800
2054,"2025-02-28",200,10,"Ventilador de mesa","Mondial","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",2000
2055,"2024-07-21",200,19,"Chaleira elétrica inox","Oster","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3800
2056,"2022-04-19",1200,16,"Fogão 4 bocas","Consul","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",19200
2057,"2025-11-30",220,20,"Panela elétrica de arroz","Mondial","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4400
2058,"2022-08-05",300,4,"Cafeteira elétrica 30 xícs","Oster","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",1200
2059,"2024-06-19",2500,20,"Lava-louças 10 serviços","Brastemp","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",50000
2060,"2024-12-05",500,7,"Micro-ondas 25L","LG","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",3500
2061,"2022-06-27",2200,3,"Freezer horizontal 300L","Consul","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",6600
2062,"2024-09-27",3000,16,"Lava-louças 14 serviços","Electrolux","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",48000
2063,"2023-04-17",900,11,"Forno elétrico 45L","Fischer","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",9900
2064,"2024-08-18",150,1,"Liquidificador 800W","Mondial","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",150
2065,"2024-11-20",90,11,"Ferro de passar seco","Britânia","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",990
2066,"2023-01-06",2200,11,"Freezer horizontal 300L","Consul","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",24200
2067,"2025-02-03",280,11,"Grill elétrico","George Foreman","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",3080
2068,"2023-05-27",150,13,"Sanduicheira elétrica","Mondial","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1950
2069,"2024-03-31",280,4,"Grill elétrico","George Foreman","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",1120
2070,"2024-06-29",3000,9,"Lava-louças 14 serviços","Electrolux","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",27000
2071,"2022-10-27",220,15,"Panela elétrica de arroz","Mondial","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3300
2072,"2023-11-20",90,16,"Ferro de passar seco","Britânia","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",1440
2073,"2024-11-07",300,8,"Cafeteira elétrica 30 xícs","Oster","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",2400
2074,"2023-04-12",400,13,"Batedeira Planetária","Philco","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",5200
2075,"2022-02-10",1200,18,"Fogão 4 bocas","Consul","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",21600
2076,"2023-09-19",180,20,"Liquidificador 1000W","Arno","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3600
2077,"2022-07-19",300,12,"Cafeteira elétrica 30 xícs","Oster","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",3600
2078,"2022-05-15",400,17,"Batedeira Planetária","Philco","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",6800
2079,"2024-06-25",600,15,"Exaustor de cozinha","Tramontina","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",9000
2080,"2024-05-29",2500,7,"Freezer vertical 280L","Brastemp","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",17500
2081,"2025-07-31",750,4,"Forno elétrico 35L","Philco","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",3000
2082,"2023-04-03",2800,16,"Máquina de Lavar 15kg","Brastemp","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",44800
2083,"2022-09-11",1200,11,"Fogão 4 bocas","Consul","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",13200
2084,"2024-01-04",3000,9,"Lava-louças 14 serviços","Electrolux","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",27000
2085,"2023-04-24",2500,19,"Lava-louças 10 serviços","Brastemp","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",47500
2086,"2023-10-21",2800,8,"Máquina de Lavar 15kg","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",22400
2087,"2022-06-15",2800,17,"Máquina de Lavar 15kg","Brastemp","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",47600
2088,"2023-05-31",120,19,"Ferro de passar a vapor","Arno","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2280
2089,"2022-10-29",2200,9,"Freezer horizontal 300L","Consul","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",19800
2090,"2023-02-11",90,15,"Ferro de passar seco","Britânia","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",1350
2091,"2025-06-01",2500,15,"Freezer vertical 280L","Brastemp","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",37500
2092,"2023-12-05",4500,9,"Geladeira Duplex 500L","Brastemp","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",40500
2093,"2023-02-03",1200,11,"Cafeteira expresso","Nespresso","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",13200
2094,"2023-10-20",150,6,"Liquidificador 800W","Mondial","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",900
2095,"2025-02-21",1000,11,"Purificador de água","Consul","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",11000
2096,"2022-07-27",2800,10,"Máquina de Lavar 15kg","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",28000
2097,"2023-12-18",2500,6,"Freezer vertical 280L","Brastemp","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",15000
2098,"2022-08-09",250,9,"Batedeira simples","Britânia","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",2250
2099,"2023-11-17",2000,19,"Ar-condicionado Split 12k","LG","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",38000
2100,"2023-08-19",750,6,"Forno elétrico 35L","Philco","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",4500
2101,"2024-02-09",850,6,"Bebedouro elétrico","IBBL","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",5100
2102,"2024-03-12",4500,2,"Geladeira Duplex 500L","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",9000
2103,"2023-03-23",180,15,"Secador de cabelo 1600W","Philco","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2700
2104,"2022-02-07",200,18,"Chaleira elétrica inox","Oster","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",3600
2105,"2022-03-15",250,16,"Batedeira simples","Britânia","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",4000
2106,"2024-05-07",220,8,"Panela elétrica de arroz","Mondial","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1760
2107,"2022-08-29",1200,7,"Cafeteira expresso","Nespresso","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",8400
2108,"2022-01-16",600,19,"Exaustor de cozinha","Tramontina","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",11400
2109,"2024-08-31",220,7,"Panela elétrica de arroz","Mondial","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",1540
2110,"2024-05-12",3200,15,"Geladeira Frost Free 400L","Electrolux","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",48000
2111,"2024-02-21",2800,14,"Máquina de Lavar 15kg","Brastemp","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",39200
2112,"2023-07-30",450,12,"Aspirador de pó vertical","Philco","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5400
2113,"2023-06-18",250,12,"Secador de cabelo 2000W","Taiff","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3000
2114,"2023-04-04",150,19,"Sanduicheira elétrica","Mondial","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",2850
2115,"2023-08-05",4500,2,"Geladeira Duplex 500L","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",9000
2116,"2025-02-12",1500,15,"Aspirador de pó robô","Xiaomi","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",22500
2117,"2023-08-20",850,19,"Bebedouro elétrico","IBBL","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",16150
2118,"2022-10-09",300,18,"Cafeteira elétrica 30 xícs","Oster","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5400
2119,"2023-09-30",850,9,"Bebedouro elétrico","IBBL","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",7650
2120,"2023-02-11",250,2,"Batedeira simples","Britânia","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",500
2121,"2023-12-20",2200,2,"Freezer horizontal 300L","Consul","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",4400
2122,"2024-08-21",150,6,"Sanduicheira elétrica","Mondial","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",900
2123,"2022-06-23",180,11,"Liquidificador 1000W","Arno","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",1980
2124,"2025-11-09",350,4,"Ventilador de coluna","Arno","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1400
2125,"2025-10-18",2200,4,"Freezer horizontal 300L","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",8800
2126,"2023-07-21",2200,3,"Freezer horizontal 300L","Consul","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",6600
2127,"2023-05-12",4500,5,"Geladeira Duplex 500L","Brastemp","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",22500
2128,"2022-08-07",350,18,"Panela elétrica multifunc.","Britânia","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",6300
2129,"2022-02-15",280,2,"Grill elétrico","George Foreman","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",560
2130,"2023-06-17",1200,8,"Fogão 4 bocas","Consul","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",9600
2131,"2023-09-10",200,15,"Chaleira elétrica inox","Oster","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",3000
2132,"2023-05-24",2000,6,"Ar-condicionado Split 12k","LG","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",12000
2133,"2025-05-05",200,11,"Ventilador de mesa","Mondial","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",2200
2134,"2022-08-14",4500,7,"Geladeira Duplex 500L","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",31500
2135,"2022-10-29",500,19,"Micro-ondas 25L","LG","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",9500
2136,"2023-05-09",350,18,"Ventilador de coluna","Arno","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",6300
2137,"2022-07-28",1800,6,"Fogão 5 bocas","Atlas","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",10800
2138,"2025-06-08",350,11,"Ventilador de coluna","Arno","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3850
2139,"2024-11-25",150,4,"Liquidificador 800W","Mondial","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",600
2140,"2022-07-06",350,1,"Ventilador de coluna","Arno","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",350
2141,"2025-09-24",280,8,"Grill elétrico","George Foreman","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2240
2142,"2022-10-13",220,15,"Panela elétrica de arroz","Mondial","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3300
2143,"2022-05-09",1200,17,"Cafeteira expresso","Nespresso","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",20400
2144,"2022-04-17",1000,19,"Purificador de água","Consul","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",19000
2145,"2023-09-08",2500,19,"Freezer vertical 280L","Brastemp","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",47500
2146,"2023-06-06",2000,19,"Ar-condicionado Split 12k","LG","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",38000
2147,"2023-12-13",600,1,"Exaustor de cozinha","Tramontina","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",600
2148,"2025-04-09",600,11,"Exaustor de cozinha","Tramontina","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",6600
2149,"2022-09-29",450,19,"Aspirador de pó vertical","Philco","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",8550
2150,"2022-08-08",250,4,"Batedeira simples","Britânia","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",1000
2151,"2024-07-06",200,14,"Chaleira elétrica inox","Oster","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2800
2152,"2024-05-04",500,14,"Micro-ondas 25L","LG","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",7000
2153,"2023-04-16",1500,4,"Aspirador de pó robô","Xiaomi","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",6000
2154,"2025-03-26",2200,13,"Freezer horizontal 300L","Consul","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",28600
2155,"2025-03-10",4500,9,"Geladeira Duplex 500L","Brastemp","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",40500
2156,"2023-03-15",3000,6,"Lava-louças 14 serviços","Electrolux","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",18000
2157,"2024-11-06",1500,15,"Coifa de parede inox","Electrolux","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",22500
2158,"2024-08-17",150,10,"Sanduicheira elétrica","Mondial","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",1500
2159,"2025-02-24",650,17,"Micro-ondas 30L","Panasonic","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",11050
2160,"2023-07-10",180,2,"Secador de cabelo 1600W","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",360
2161,"2023-04-19",3200,11,"Geladeira Frost Free 400L","Electrolux","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",35200
2162,"2022-06-13",1500,1,"Coifa de parede inox","Electrolux","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",1500
2163,"2024-11-02",350,4,"Ventilador de coluna","Arno","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1400
2164,"2025-12-01",250,16,"Batedeira simples","Britânia","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",4000
2165,"2025-11-21",1200,5,"Fogão 4 bocas","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",6000
2166,"2025-03-02",2200,19,"Máquina de Lavar 12kg","Samsung","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",41800
2167,"2022-09-25",220,3,"Panela elétrica de arroz","Mondial","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",660
2168,"2022-11-03",2200,14,"Freezer horizontal 300L","Consul","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",30800
2169,"2022-04-01",450,7,"Aspirador de pó vertical","Philco","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3150
2170,"2022-11-14",180,2,"Secador de cabelo 1600W","Philco","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",360
2171,"2023-06-15",300,3,"Cafeteira elétrica 30 xícs","Oster","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",900
2172,"2022-03-19",150,1,"Sanduicheira elétrica","Mondial","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",150
2173,"2025-04-09",180,15,"Secador de cabelo 1600W","Philco","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2700
2174,"2024-06-10",2200,3,"Freezer horizontal 300L","Consul","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",6600
2175,"2022-08-25",900,11,"Forno elétrico 45L","Fischer","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",9900
2176,"2022-11-14",3200,7,"Geladeira Frost Free 400L","Electrolux","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",22400
2177,"2023-06-21",120,18,"Ferro de passar a vapor","Arno","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",2160
2178,"2025-05-26",180,7,"Torradeira elétrica","Cadence","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1260
2179,"2024-07-05",150,19,"Sanduicheira elétrica","Mondial","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2850
2180,"2023-02-22",850,15,"Bebedouro elétrico","IBBL","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",12750
2181,"2022-10-19",3200,14,"Geladeira Frost Free 400L","Electrolux","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",44800
2182,"2025-04-17",1800,6,"Fogão 5 bocas","Atlas","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",10800
2183,"2022-02-15",650,6,"Micro-ondas 30L","Panasonic","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3900
2184,"2025-01-29",500,18,"Micro-ondas 25L","LG","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",9000
2185,"2022-08-08",650,20,"Micro-ondas 30L","Panasonic","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",13000
2186,"2025-07-16",600,4,"Exaustor de cozinha","Tramontina","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2400
2187,"2024-11-12",180,13,"Liquidificador 1000W","Arno","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",2340
2188,"2022-10-01",3000,6,"Lava-louças 14 serviços","Electrolux","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",18000
2189,"2024-01-23",2000,7,"Ar-condicionado Split 12k","LG","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",14000
2190,"2023-10-27",1500,17,"Coifa de parede inox","Electrolux","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",25500
2191,"2025-06-11",1500,18,"Coifa de parede inox","Electrolux","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",27000
2192,"2023-08-02",2800,5,"Ar-condicionado Split 18k","Samsung","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",14000
2193,"2024-09-17",850,2,"Bebedouro elétrico","IBBL","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1700
2194,"2022-05-11",2500,4,"Freezer vertical 280L","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",10000
2195,"2024-02-21",900,14,"Forno elétrico 45L","Fischer","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",12600
2196,"2023-01-09",200,3,"Chaleira elétrica inox","Oster","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",600
2197,"2024-10-16",350,15,"Panela elétrica multifunc.","Britânia","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5250
2198,"2023-08-01",1800,9,"Fogão 5 bocas","Atlas","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",16200
2199,"2023-07-08",400,8,"Batedeira Planetária","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",3200
2200,"2023-12-01",750,3,"Forno elétrico 35L","Philco","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2250
2201,"2024-12-25",1000,2,"Purificador de água","Consul","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2000
2202,"2024-03-11",1200,5,"Fogão 4 bocas","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",6000
2203,"2023-07-10",350,11,"Ventilador de coluna","Arno","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",3850
2204,"2025-10-24",300,16,"Cafeteira elétrica 30 xícs","Oster","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",4800
2205,"2024-04-05",250,16,"Secador de cabelo 2000W","Taiff","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4000
2206,"2024-10-07",180,5,"Torradeira elétrica","Cadence","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",900
2207,"2022-01-03",850,2,"Bebedouro elétrico","IBBL","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",1700
2208,"2023-04-11",350,16,"Panela elétrica multifunc.","Britânia","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5600
2209,"2024-09-13",350,4,"Panela elétrica multifunc.","Britânia","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1400
2210,"2023-09-08",300,14,"Cafeteira elétrica 30 xícs","Oster","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",4200
2211,"2022-05-22",250,16,"Batedeira simples","Britânia","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4000
2212,"2023-10-31",2000,4,"Ar-condicionado Split 12k","LG","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",8000
2213,"2025-09-23",220,10,"Panela elétrica de arroz","Mondial","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",2200
2214,"2023-02-04",2800,17,"Ar-condicionado Split 18k","Samsung","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",47600
2215,"2024-03-01",2500,14,"Freezer vertical 280L","Brastemp","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",35000
2216,"2025-11-25",3000,18,"Lava-louças 14 serviços","Electrolux","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",54000
2217,"2025-12-15",180,3,"Torradeira elétrica","Cadence","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",540
2218,"2022-12-05",500,6,"Micro-ondas 25L","LG","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3000
2219,"2025-08-04",2200,6,"Máquina de Lavar 12kg","Samsung","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",13200
2220,"2022-08-31",2500,11,"Freezer vertical 280L","Brastemp","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",27500
2221,"2025-09-08",1500,11,"Aspirador de pó robô","Xiaomi","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",16500
2222,"2023-03-09",2200,13,"Freezer horizontal 300L","Consul","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",28600
2223,"2023-11-14",2800,7,"Máquina de Lavar 15kg","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",19600
2224,"2024-01-30",90,14,"Ferro de passar seco","Britânia","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1260
2225,"2025-05-17",1500,18,"Aspirador de pó robô","Xiaomi","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",27000
2226,"2022-12-09",350,16,"Ventilador de coluna","Arno","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5600
2227,"2023-07-08",180,20,"Torradeira elétrica","Cadence","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3600
2228,"2025-02-24",150,20,"Sanduicheira elétrica","Mondial","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3000
2229,"2022-12-10",280,2,"Grill elétrico","George Foreman","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",560
2230,"2025-03-02",2500,17,"Freezer vertical 280L","Brastemp","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",42500
